POP,LOCAL,HAB,COND,Air Temp,HGR,INC,SOIL,VEG,ROCK,ROCK_RM,WALL,ROCKD,SOIL1,VEG1,ROCK1,SOIL1_T,VEG1_T,ROCK1_T,SUBTEMP,APPROACH,FLIGHT,REFUGE,REFUGETEMP,SOIL2,VEG2,ROCK2,SOIL2_T,VEG2_T,ROCK2_T,COLOR,TAIL
(5)Parada,Lindoso,HUM,UNBURN,20.8,20,0,0,0,0,0,1,,0.2,0.3,0.5,0.201357921,0.304692654,0.523598776,26.7,180,10,wall,12.9,0.2,0.3,0.5,0.201357921,0.304692654,0.523598776,Spot,reg
(5)Parada,Lindoso,HUM,UNBURN,22,135,10,0,0,0,0,1,,0,0.2,0.8,0,0.201357921,0.927295218,34.4,170,5,wall,10.2,0,0.2,0.8,0,0.201357921,0.927295218,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,22,40,0,0,0,0,0,1,,0.2,0.2,0.6,0.201357921,0.201357921,0.643501109,22.2,130,10,wall,5.8,0.2,0.2,0.6,0.201357921,0.201357921,0.643501109,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,22.6,50,90,0,0,0,0,1,,0.3,0.1,0.6,0.304692654,0.100167421,0.643501109,14.8,215,40,wall,8.5,0.3,0.1,0.6,0.304692654,0.100167421,0.643501109,Spot,ok
(5)Parada,Lindoso,HUM,UNBURN,22.6,30,90,0,0,0,0,1,,0.2,0.2,0.6,0.201357921,0.201357921,0.643501109,31.2,170,40,wall,16.5,0.2,0.2,0.6,0.201357921,0.201357921,0.643501109,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,26.6,90,60,0,0,0,0,1,,0,0.4,0.6,0,0.411516846,0.643501109,58.1,150,25,wall,12.4,0,0.3,0.7,0,0.304692654,0.775397497,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,23.1,90,0,0,0,0,0,1,,0.2,0,0.8,0.201357921,0,0.927295218,48.6,180,15,wall,6.6,0.2,0,0.8,0.201357921,0,0.927295218,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,30.4,70,10,0,0,0,0,1,,0,0.3,0.7,0,0.304692654,0.775397497,58.7,140,20,wall,10.3,0,0.3,0.7,0,0.304692654,0.775397497,Spot,reg
(5)Parada,Lindoso,HUM,UNBURN,24.9,40,20,0,0,0,0,1,,0.1,0.2,0.7,0.100167421,0.201357921,0.775397497,25.6,130,80,wall,19.1,0.1,0.2,0.7,0.100167421,0.201357921,0.775397497,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,24.6,55,10,0,0,0,0,1,,0.15,0.15,0.7,0.150568273,0.150568273,0.775397497,18.3,75,60,wall,10.4,0.2,0.1,0.7,0.201357921,0.100167421,0.775397497,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,23.9,35,30,0,0,0,0,1,,0.2,0.05,0.75,0.201357921,0.050020857,0.848062079,66.2,190,10,wall,8.1,0.2,0.05,0.75,0.201357921,0.050020857,0.848062079,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,31.4,135,60,0,0,0,0,1,,0,0.2,0.8,0,0.201357921,0.927295218,40.6,150,20,wall,9.6,0,0.15,0.85,0,0.150568273,1.015985294,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,29.4,100,0,0,0,0,0,1,,0,0,1,0,0,1.570796327,34.8,140,55,wall,17.6,0,0,1,0,0,1.570796327,Spot,reg
(5)Parada,Lindoso,HUM,UNBURN,30.1,90,10,0,0,0,0,1,,0.2,0.5,0.75,0.201357921,0.523598776,0.848062079,18.9,155,10,wall,30,0.2,0.05,0.75,0.201357921,0.050020857,0.848062079,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,30.1,90,90,0,0,0,0,1,,0.2,0.2,0.6,0.201357921,0.201357921,0.643501109,19.5,155,30,wall,16.5,0.3,0.15,0.55,0.304692654,0.150568273,0.582364238,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,28.9,95,90,0,0,0,0,1,,0,0.15,0.85,0,0.150568273,1.015985294,18.9,195,55,wall,17.9,0.1,0.15,0.75,0.100167421,0.150568273,0.848062079,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,29.8,65,90,0,0,0,0,1,,0.2,0.2,0.6,0.201357921,0.201357921,0.643501109,19.1,235,30,wall,20.8,0.1,0.1,0.8,0.100167421,0.100167421,0.927295218,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,30.4,120,0,0,0,0,0,1,,0,0,1,0,0,1.570796327,39.7,430,55,wall,13.1,0,0,1,0,0,1.570796327,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,30.1,90,90,0,0,0,0,1,,0.1,0.2,0.7,0.100167421,0.201357921,0.775397497,19.3,280,70,wall,15.4,0.05,0.05,0.9,0.050020857,0.050020857,1.119769515,Spot,ok
(5)Parada,Lindoso,HUM,UNBURN,30.1,100,20,0,0,0,0,1,,0.05,0.2,0.75,0.050020857,0.201357921,0.848062079,32,255,10,wall,14.1,0.05,0.2,0.75,0.050020857,0.201357921,0.848062079,Spot,ok
(5)Parada,Lindoso,HUM,UNBURN,30.5,35,10,0,0,1,0,0,60,0.1,0.2,0.7,0.100167421,0.201357921,0.775397497,61.1,195,10,rock,21.7,0.1,0.2,0.7,0.100167421,0.201357921,0.775397497,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,28.5,110,55,0,0,0,1,0,RM,0.1,0.2,0.7,0.100167421,0.201357921,0.775397497,38.4,230,60,veg,21.4,0.2,0.3,0.5,0.201357921,0.304692654,0.523598776,Spot,reg
(5)Parada,Lindoso,HUM,UNBURN,28.7,105,80,0,0,0,0,1,,0,0.05,0.95,0,0.050020857,1.253235898,31.3,200,30,rock,22.3,0,0.05,0.95,0,0.050020857,1.253235898,Unif,ok
